elbow_angle,back_angle
77,103.79380861217656
68,104.23728046576107
61,104.23728046576107
47,103.95644438371176
39,103.83604938563975
29,103.67564542093692
24,103.71481189187844
19,103.3924977537511
14,103.58735409512732
15,103.66686318746628
15,103.74729025730062
12,103.86968643850504
13,103.99423777199704
13,103.8676029556146
13,103.90938955081783
13,103.8234072273158
12,104.37703218973516
11,104.72548275517968
13,104.7707645021813
13,104.81631934277765
13,104.7707645021813
14,104.72548275517968
14,105.06848815949222
14,105.38056082230533
11,105.5050441823123
11,105.89640422452322
10,106.18920625702695
11,106.23884162969227
11,106.23884162969227
14,106.11723362760408
14,105.99468258082022
13,106.26741807595776
13,106.8374726256764
18,106.31808652169424
18,106.31808652169424
21,106.3895403340348
29,106.28877403005946
30,106.06777029731153
35,105.94539590092285
40,106.18920625702695
48,106.09081634885216
53,105.75117366345302
56,106.3993562975353
63,106.74866553816562
72,106.81380290926862
79,106.94154239283657
82,107.00417687615546
85,107.01728581624408
86,106.92064553696991
175,107.32408953997096
179,107.15242174021184
178,107.41479439906313
177,107.5766492928905
177,107.37403713265778
177,107.27441957527331
179,106.9553130520252
179,107.11500312900024
179,107.06600875648977
180,107.06600875648977
180,107.0784716548738
179,106.88679112394404
180,106.96093726961526
178,107.11453522883028
179,107.11453522883028
180,107.87869659584136
180,107.8297342256772
179,107.93236715620098
179,107.88356289271373
179,107.6364530726083
178,107.33516493335028
179,107.1841480081566
180,106.80401696376036
178,106.44285524995556
177,106.24763157278564
177,105.5576860175306
178,105.36493319152038
179,105.5407112511103
180,105.60662214293114
180,105.88142594665504
180,106.03062570717373
179,105.6481992654484
179,105.6481992654484
178,105.49927537650083
178,105.16028065853038
178,104.9014455438113
179,104.75146243376152
179,104.56222273345634
178,104.712047009334
178,104.41219463086703
177,104.52337701039336
177,104.2619643468425
177,103.96090389331616
176,103.96090389331616
177,103.96090389331616
178,104.41219463086703
178,104.63383097156616
177,104.82209318684744
177,105.2281813380876
176,105.3762512488262
176,105.52411099675426
176,105.48317375056726
176,105.56525992641689
176,105.60662214293114
176,105.43250445059005
176,105.20078417262854
176,104.98163257239092
177,105.0626671923769
176,104.79108489871118
176,104.712047009334
176,104.56222273345634
176,104.56222273345634
176,104.0362434679265
177,103.84936944201144
178,104.0362434679265
179,104.37371470647564
179,104.67283704388998
178,104.66584207633674
179,105.0003532838546
178,105.119987398157
178,105.67175906380491
178,105.79690661597016
178,106.03062570717373
178,106.0531351111184
177,106.0966287535508
179,107.09115873909796
180,106.74441829520843
179,106.83548229047337
178,106.68409463637916
180,106.91417916177824
180,107.62229722866827
179,107.36364770965304
173,107.02052561151986
89,106.88137589977292
85,106.84931141182508
76,106.69924423399362
57,106.57762960206443
48,106.33604288971848
44,106.27292156073062
38,106.45301086616536
27,106.0761581984574
18,105.98875251732608
14,106.0966287535508
16,106.2917205354487
12,106.48754266026754
10,106.5937550168942
12,106.5937550168942
11,106.7296237536881
12,106.57762960206443
13,106.48754266026754
12,106.33604288971848
11,106.48754266026754
10,106.33604288971848
10,106.2917205354487
11,106.35418348600008
11,106.94061523165549
10,106.89484356175008
12,106.84931141182508
13,107.09115873909796
11,107.09115873909796
13,107.19497405660934
11,107.2517274596747
15,107.15973967612108
17,106.66954191445993
16,106.37201332953008
15,106.0735741647464
18,105.9022677348018
20,105.98875251732608
23,105.6848636480096
27,105.38006689742956
30,105.5325779361803
39,105.38006689742956
52,105.33819614050536
59,105.33819614050536
59,105.22733219722788
66,105.18583726220132
73,105.33819614050536
79,105.33819614050536
178,105.49033309085873
179,105.59985449194006
179,105.64224645720874
174,105.8369223850987
178,105.92358555575892
178,106.01117747880843
179,106.05532627161972
179,105.94539590092285
178,105.94539590092285
178,105.63605030934566
178,105.52411099675426
179,105.7671825424757
179,105.61098853367966
180,105.61098853367966
178,105.297887378503
179,105.01455991609734
